a,,,,,,,,,,,,,,,,
believe,believed,believing,believings,,,,,,,,,,,,,
benefit,benefited,benefiting,benefitted,benefitting,benefittings,,,,,,,,,,,
bet,betted,betting,bettings,,,,,,,,,,,,,
between,,,,,,,,,,,,,,,,
big,biggest,,,,,,,,,,,,,,,
bill,billed,billing,billings,,,,,,,,,,,,,
bit,bitted,bitting,bittings,,,,,,,,,,,,,
black,blacked,blacking,blacker,blackest,,,,,,,,,,,,
bloody,bloodied,bloodying,bloodier,bloodiest,,,,,,,,,,,,
board,boarded,boarding,boardings,,,,,,,,,,,,,
body,bodied,bodying,bodys,,,,,,,,,,,,,
book,booked,booking,bookings,,,,,,,,,,,,,
both,,,,,,,,,,,,,,,,
bother,bothered,bothering,botherings,,,,,,,,,,,,,
bottom,bottomed,bottoming,bottomings,,,,,,,,,,,,,
box,boxed,boxing,boxings,,,,,,,,,,,,,
boy,,,,,,,,,,,,,,,,
break,broke,breaking,broken,,,,,,,,,,,,,
breath,,,,,,,,,,,,,,,,
brief,briefed,briefing,briefer,briefest,briefings,,,,,,,,,,,
bring,brought,bringing,bringings,,,,,,,,,,,,,
brother,,,,,,,,,,,,,,,,
budget,budgeted,budgeting,budgetings,,,,,,,,,,,,,
build,builded,building,buildings,built,,,,,,,,,,,,
bus,bused,busing,busings,,,,,,,,,,,,,
business,,,,,,,,,,,,,,,,
but,,,,,,,,,,,,,,,,
buy,bought,buying,buyed,,,,,,,,,,,,,
by,,,,,,,,,,,,,,,,
call,called,calling,callings,,,,,,,,,,,,,
can,canned,canning,cannot,cannings,,,,,,,,,,,,
car,,,,,,,,,,,,,,,,
card,carded,carding,cardings,,,,,,,,,,,,,
care,cared,caring,carings,,,,,,,,,,,,,
carry,carried,carrying,carryed,carrys,,,,,,,,,,,,
case,cased,casing,casings,,,,,,,,,,,,,
catch,caught,catching,catched,,,,,,,,,,,,,
cause,caused,causing,causings,,,,,,,,,,,,,
center,centered,centering,centerings,centre,centres,centred,centring,centrings,,,,,,,,
certain,,,,,,,,,,,,,,,,
certainly,,,,,,,,,,,,,,,,
chance,chanced,chancing,chancings,,,,,,,,,,,,,
change,changed,changing,changings,,,,,,,,,,,,,
charge,charged,charging,chargings,,,,,,,,,,,,,
cheap,cheapest,,,,,,,,,,,,,,,
check,checked,checking,checkings,,,,,,,,,,,,,
child,children,childrens,,,,,,,,,,,,,,
choice,choicer,choicest,,,,,,,,,,,,,,
choose,chose,choosing,chosen,choosed,,,,,,,,,,,,
church,churched,churching,churchs,,,,,,,,,,,,,
city,citys,,,,,,,,,,,,,,,
class,classed,classing,classings,,,,,,,,,,,,,
clean,cleaned,cleaning,cleanings,,,,,,,,,,,,,
clear,cleared,clearing,clearer,clearest,clearings,,,,,,,,,,,
clock,clocked,clocking,clockings,,,,,,,,,,,,,
close,closed,closing,closer,closest,closings,,,,,,,,,,,
cold,coldest,colds,,,,,,,,,,,,,,
college,,,,,,,,,,,,,,,,
color,colored,coloring,colorings,colour,colours,coloured,colouring,colourings,,,,,,,,
come,came,coming,comed,cometh,comin,comeing,comings,,,,,,,,,
comment,commented,commenting,commentings,,,,,,,,,,,,,
committee,,,,,,,,,,,,,,,,
community,,,,,,,,,,,,,,,,
company,companys,,,,,,,,,,,,,,,
completely,,,,,,,,,,,,,,,,
computer,,,,,,,,,,,,,,,,
concern,concerned,concerning,concernings,,,,,,,,,,,,,
consider,considered,considering,considerings,,,,,,,,,,,,,
contact,contacted,contacting,contactings,,,,,,,,,,,,,
continue,continued,continuing,continueing,continueings,,,,,,,,,,,,
control,controlled,controlling,controllings,,,,,,,,,,,,,
conversation,,,,,,,,,,,,,,,,
cool,cooled,cooling,coolest,,,,,,,,,,,,,
copy,copied,copying,copyings,,,,,,,,,,,,,
correct,corrected,correcting,correctings,,,,,,,,,,,,,
cost,costed,costing,costings,,,,,,,,,,,,,
cough,coughed,coughing,coughings,,,,,,,,,,,,,
could,coulda,,,,,,,,,,,,,,,
council,councilled,councilling,councillings,,,,,,,,,,,,,
country,countrys,,,,,,,,,,,,,,,
couple,coupled,coupling,couplings,,,,,,,,,,,,,
course,coursed,coursing,coursings,,,,,,,,,,,,,
cover,covered,covering,coverings,,,,,,,,,,,,,
create,created,creating,creatings,,,,,,,,,,,,,
cut,cutted,cutting,cuttings,,,,,,,,,,,,,
dad,daddy,daddies,,,,,,,,,,,,,,
date,dated,dating,datings,,,,,,,,,,,,,
day,daies,,,,,,,,,,,,,,,
deal,dealed,dealing,dealt,dealings,,,,,,,,,,,,
dear,dearer,dearest,,,,,,,,,,,,,,
decide,decided,deciding,decidings,,,,,,,,,,,,,
decision,,,,,,,,,,,,,,,,
definitely,,,,,,,,,,,,,,,,
degree,,,,,,,,,,,,,,,,
depend,depended,depending,dependings,,,,,,,,,,,,,
detail,detailed,detailing,detailings,,,,,,,,,,,,,
develop,developed,developing,developings,,,,,,,,,,,,,
development,,,,,,,,,,,,,,,,
die,died,dying,dieing,dieings,,,,,,,,,,,,
difference,differenced,differencing,differencings,,,,,,,,,,,,,
different,,,,,,,,,,,,,,,,
difficult,,,,,,,,,,,,,,,,
dinner,,,,,,,,,,,,,,,,
discuss,discussed,discussing,discussings,,,,,,,,,,,,,
discussion,,,,,,,,,,,,,,,,
do,did,doing,doings,done,doesn,didn,doin,,,,,,,,,
doctor,doctored,doctoring,dr,,,,,,,,,,,,,
document,documented,documenting,documentings,,,,,,,,,,,,,
dog,dogged,dogging,doggings,,,,,,,,,,,,,
dollar,,,,,,,,,,,,,,,,
door,,,,,,,,,,,,,,,,
down,downed,downing,downings,,,,,,,,,,,,,
draw,drew,drawing,drawn,drawed,drawings,,,,,,,,,,,
drink,drank,drinking,drinkings,,,,,,,,,,,,,
drive,drove,driving,driven,drived,droves,,,,,,,,,,,
drop,dropped,dropping,droppings,,,,,,,,,,,,,
during,,,,,,,,,,,,,,,,
each,,,,,,,,,,,,,,,,
early,earliest,,,,,,,,,,,,,,,
easy,easiest,,,,,,,,,,,,,,,
eat,ate,eating,eaten,,,,,,,,,,,,,
education,,,,,,,,,,,,,,,,
effect,effected,effecting,effectings,,,,,,,,,,,,,
effort,,,,,,,,,,,,,,,,
eight,eights,eighth,eighths,,,,,,,,,,,,,
eighty,eightys,eighties,eightieth,eightieths,,,,,,,,,,,,
either,,,,,,,,,,,,,,,,
eleven,elevens,eleventh,elevenths,,,,,,,,,,,,,
else,,,,,,,,,,,,,,,,
end,ended,ending,endings,,,,,,,,,,,,,
enjoy,enjoyed,enjoying,enjoyings,,,,,,,,,,,,,
enough,,,,,,,,,,,,,,,,
especially,,,,,,,,,,,,,,,,
even,evened,,,,,,,,,,,,,,,
evening,,,,,,,,,,,,,,,,
ever,,,,,,,,,,,,,,,,
every,,,,,,,,,,,,,,,,
everybody,,,,,,,,,,,,,,,,
everyone,,,,,,,,,,,,,,,,
everything,,,,,,,,,,,,,,,,
exactly,,,,,,,,,,,,,,,,
example,,,,,,,,,,,,,,,,
expect,expected,expecting,expectings,,,,,,,,,,,,,
experience,experienced,experiencing,experiencings,,,,,,,,,,,,,
explain,explained,explaining,explainings,,,,,,,,,,,,,
extra,,,,,,,,,,,,,,,,
eye,eyed,eyeing,eyeings,,,,,,,,,,,,,
face,faced,facing,facings,,,,,,,,,,,,,
fact,,,,,,,,,,,,,,,,
fair,faired,fairing,fairer,fairest,,,,,,,,,,,,
fairly,,,,,,,,,,,,,,,,
fall,fell,falling,fallen,falled,,,,,,,,,,,,
family,familys,,,,,,,,,,,,,,,
far,farthest,,,,,,,,,,,,,,,
father,fathered,fathering,fatherings,,,,,,,,,,,,,
feel,felt,feeled,feeling,feelings,,,,,,,,,,,,
few,fewest,fewers,fewests,,,,,,,,,,,,,
fifteen,fifteens,fifteenth,fifteenths,,,,,,,,,,,,,
fifty,fiftys,fifties,fiftieth,fiftieths,,,,,,,,,,,,
figure,figured,figuring,figurings,,,,,,,,,,,,,
fill,filled,filling,fillings,,,,,,,,,,,,,
find,found,finding,finded,findings,,,,,,,,,,,,
fine,fined,fining,finer,finest,,,,,,,,,,,,
finish,finished,finishing,finishings,,,,,,,,,,,,,
fire,fired,firing,firings,,,,,,,,,,,,,
first,,,,,,,,,,,,,,,,
fit,fitted,fitting,fitter,fittest,fittings,,,,,,,,,,,
five,fives,fifth,fifths,,,,,,,,,,,,,
floor,floored,flooring,floorings,,,,,,,,,,,,,
focus,focused,focusing,focussed,focuss,focusses,focussing,focussings,,,,,,,,,
follow,followed,following,followings,,,,,,,,,,,,,
food,,,,,,,,,,,,,,,,
foot,footed,footing,feet,footings,,,,,,,,,,,,
for,,,,,,,,,,,,,,,,
force,forced,forcing,forcings,,,,,,,,,,,,,
forget,forgot,forgetting,forgotten,,,,,,,,,,,,,
form,formed,forming,formings,,,,,,,,,,,,,
forty,fortys,forties,fortieth,fortieths,,,,,,,,,,,,
forward,forwarded,forwarding,foreward,forewards,forewarded,forewarding,forewardings,,,,,,,,,
four,fours,fourth,fourths,,,,,,,,,,,,,
free,freed,freeing,freer,freest,,,,,,,,,,,,
friend,,,,,,,,,,,,,,,,
from,,,,,,,,,,,,,,,,
front,fronted,fronting,frontings,,,,,,,,,,,,,
full,fulled,fulling,fuller,fullest,,,,,,,,,,,,
fun,,,,,,,,,,,,,,,,
fund,funded,funding,fundings,,,,,,,,,,,,,
funny,funniest,,,,,,,,,,,,,,,
further,furthered,furthering,furtherings,futherer,furtherest,,,,,,,,,,,
future,,,,,,,,,,,,,,,,
game,gamed,gaming,gamings,,,,,,,,,,,,,
general,,,,,,,,,,,,,,,,
get,got,getting,gotten,gettin,gotta,,,,,,,,,,,
girl,,,,,,,,,,,,,,,,
give,gave,giving,given,gived,giveing,giveth,,,,,,,,,,
go,went,going,gone,goin,gonna,gunna,goings,,,,,,,,,
good,better,best,,,,,,,,,,,,,,
government,govt,,,,,,,,,,,,,,,
grade,graded,grading,gradings,,,,,,,,,,,,,
great,greatest,greats,,,,,,,,,,,,,,
group,grouped,grouping,groupings,,,,,,,,,,,,,
grow,grew,growing,grown,growed,,,,,,,,,,,,
guess,guessed,guessing,guessings,,,,,,,,,,,,,
guy,guyed,guying,guyings,,,,,,,,,,,,,
hair,haired,,,,,,,,,,,,,,,
half,halfs,halfed,halfing,halfings,halved,halving,halvings,,,,,,,,,
hand,handed,handing,handings,,,,,,,,,,,,,
hang,hung,hanging,hanged,hangings,,,,,,,,,,,,
happen,happened,happening,happenings,,,,,,,,,,,,,
happy,happiest,,,,,,,,,,,,,,,
hard,hardest,,,,,,,,,,,,,,,
hate,hated,hating,hatings,,,,,,,,,,,,,
have,ve,has,hasn,had,hadn,d,having,hafta,havings,haves,,,,,,
he,his,,,,,,,,,,,,,,,
head,headed,heading,headings,,,,,,,,,,,,,
health,,,,,,,,,,,,,,,,
hear,heard,hearing,hearings,,,,,,,,,,,,,
help,helped,helping,helpings,,,,,,,,,,,,,
here,,,,,,,,,,,,,,,,
high,highest,highs,,,,,,,,,,,,,,
hit,hitted,hitting,hittings,,,,,,,,,,,,,
hold,held,holding,holded,holdings,,,,,,,,,,,,
holiday,holidayed,holidaying,holidayings,,,,,,,,,,,,,
home,homed,homing,homings,,,,,,,,,,,,,
hope,hoped,hoping,hopings,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,
hot,hotted,hotting,hotter,hottest,,,,,,,,,,,,
hour,,,,,,,,,,,,,,,,
house,housed,housing,housings,,,,,,,,,,,,,
how,,,,,,,,,,,,,,,,
hundred,hundreds,hundredth,hundredths,,,,,,,,,,,,,
husband,husbanded,husbanding,husbandings,,,,,,,,,,,,,
I,my,,,,,,,,,,,,,,,
idea,,,,,,,,,,,,,,,,
if,,,,,,,,,,,,,,,,
imagine,imagined,imagining,imaginings,,,,,,,,,,,,,
important,,,,,,,,,,,,,,,,
in,,,,,,,,,,,,,,,,
include,included,including,includings,,,,,,,,,,,,,
increase,increased,increasing,increasings,,,,,,,,,,,,,
individual,,,,,,,,,,,,,,,,
information,,,,,,,,,,,,,,,,
instead,,,,,,,,,,,,,,,,
interest,interested,interesting,interestings,,,,,,,,,,,,,
into,,,,,,,,,,,,,,,,
involve,involved,involving,involvings,,,,,,,,,,,,,
issue,issued,issuing,issuings,,,,,,,,,,,,,
it,,,,,,,,,,,,,,,,
item,,,,,,,,,,,,,,,,
itself,,,,,,,,,,,,,,,,
job,jobbing,jobbings,,,,,,,,,,,,,,
just,,,,,,,,,,,,,,,,
keep,keeped,keeping,kept,,,,,,,,,,,,,
kid,kidded,kidding,kiddings,,,,,,,,,,,,,
kill,killed,killing,killings,,,,,,,,,,,,,
kind,kinda,kinder,kindest,,,,,,,,,,,,,
know,knew,knowing,known,knowed,knowin,knowings,,,,,,,,,,
lady,ladys,,,,,,,,,,,,,,,
land,landed,landing,landings,,,,,,,,,,,,,
language,,,,,,,,,,,,,,,,
large,largest,,,,,,,,,,,,,,,
last,lasted,lasting,lastings,,,,,,,,,,,,,
late,latest,,,,,,,,,,,,,,,
laugh,laughed,laughing,laughings,,,,,,,,,,,,,
laughter,,,,,,,,,,,,,,,,
law,lawed,lawing,lawings,,,,,,,,,,,,,
lead,led,leading,leaded,,,,,,,,,,,,,
learn,learned,learning,learnt,learnings,,,,,,,,,,,,
least,,,,,,,,,,,,,,,,
leave,leaved,leaving,leavings,,,,,,,,,,,,,
less,,,,,,,,,,,,,,,,
let,letted,letting,lemme,lettings,,,,,,,,,,,,
letter,lettering,letterings,lettered,,,,,,,,,,,,,
level,leveled,leveling,levelled,levelling,levellings,,,,,,,,,,,
life,,,,,,,,,,,,,,,,
light,lighted,lit,lighting,lightest,,,,,,,,,,,,
like,liked,liking,likings,,,,,,,,,,,,,
line,lined,lining,linings,,,,,,,,,,,,,
list,listed,listing,listings,,,,,,,,,,,,,
listen,listened,listening,listenings,,,,,,,,,,,,,
little,littlest,,,,,,,,,,,,,,,
live,lived,living,livings,,,,,,,,,,,,,
load,loaded,loading,loadings,,,,,,,,,,,,,
local,,,,,,,,,,,,,,,,
long,longed,longing,longer,longest,longings,,,,,,,,,,,
look,looked,looking,lookin,,,,,,,,,,,,,
lose,lost,losing,losings,,,,,,,,,,,,,
lot,lotta,,,,,,,,,,,,,,,
love,loved,loving,lovings,,,,,,,,,,,,,
lovely,loveliest,,,,,,,,,,,,,,,
low,lowed,lowing,lower,lowest,lowers,lowered,lowering,lowerings,,,,,,,,
machine,machined,machining,machinings,,,,,,,,,,,,,
main,,,,,,,,,,,,,,,,
major,majored,majoring,majorings,,,,,,,,,,,,,
make,made,making,makings,maked,makeing,maketh,makeings,,,,,,,,,
man,manned,manning,men,mens,,,,,,,,,,,,
many,,,,,,,,,,,,,,,,
market,marketed,marketing,marketings,,,,,,,,,,,,,
marry,married,marrying,marryed,,,,,,,,,,,,,
mathematics,math,maths,,,,,,,,,,,,,,
matter,mattered,mattering,matterings,,,,,,,,,,,,,
may,mays,,,,,,,,,,,,,,,
maybe,,,,,,,,,,,,,,,,
mean,meaned,meaning,meant,meanings,meaner,meanest,,,,,,,,,,
meet,meeted,meeting,met,meetings,,,,,,,,,,,,
member,membered,membering,memberings,,,,,,,,,,,,,
mention,mentioned,mentioning,mentionings,,,,,,,,,,,,,
middle,middled,middling,middlings,,,,,,,,,,,,,
might,mighta,,,,,,,,,,,,,,,
mile,,,,,,,,,,,,,,,,
million,millions,millionth,millionths,,,,,,,,,,,,,
mind,minded,minding,mindings,,,,,,,,,,,,,
mine,mined,mining,,,,,,,,,,,,,,
minute,minuted,minuting,minutings,,,,,,,,,,,,,
miss,missed,missing,missings,,,,,,,,,,,,,
moment,,,,,,,,,,,,,,,,
money,monied,moneyed,,,,,,,,,,,,,,
month,,,,,,,,,,,,,,,,
more,,,,,,,,,,,,,,,,
morning,mornin,,,,,,,,,,,,,,,
most,,,,,,,,,,,,,,,,
mother,mothered,mothering,motherings,,,,,,,,,,,,,
move,moved,moving,movings,,,,,,,,,,,,,
movie,,,,,,,,,,,,,,,,
much,,,,,,,,,,,,,,,,
music,,,,,,,,,,,,,,,,
must,musta,,,,,,,,,,,,,,,
myself,,,,,,,,,,,,,,,,
name,named,naming,namings,,,,,,,,,,,,,
national,,,,,,,,,,,,,,,,
near,neared,nearing,nearer,nearest,,,,,,,,,,,,
need,needed,needing,needn,,,,,,,,,,,,,
never,,,,,,,,,,,,,,,,
new,newest,,,,,,,,,,,,,,,
news,,,,,,,,,,,,,,,,
next,,,,,,,,,,,,,,,,
nice,nicest,,,,,,,,,,,,,,,
night,nite,nites,,,,,,,,,,,,,,
nine,nines,ninth,ninths,,,,,,,,,,,,,
nineteen,nineteens,nineteenth,nineteenths,,,,,,,,,,,,,
ninety,ninetys,nineties,ninetieth,ninetieths,,,,,,,,,,,,
no,,,,,,,,,,,,,,,,
nobody,nobodies,,,,,,,,,,,,,,,
noise,,,,,,,,,,,,,,,,
normally,,,,,,,,,,,,,,,,
not,nots,,,,,,,,,,,,,,,
note,noted,noting,notings,,,,,,,,,,,,,
nothing,,,,,,,,,,,,,,,,
notice,noticed,noticing,noticings,,,,,,,,,,,,,
now,,,,,,,,,,,,,,,,
number,numbered,numbering,numberings,,,,,,,,,,,,,
obviously,,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,
off,offed,offing,offings,,,,,,,,,,,,,
offer,offered,offerring,offerred,offering,offerings,,,,,,,,,,,
office,,,,,,,,,,,,,,,,
often,,,,,,,,,,,,,,,,
okay,okayed,okaying,ok,,,,,,,,,,,,,
old,oldest,olds,,,,,,,,,,,,,,
on,,,,,,,,,,,,,,,,
once,,,,,,,,,,,,,,,,
one,,,,,,,,,,,,,,,,
only,,,,,,,,,,,,,,,,
open,opened,opening,openings,,,,,,,,,,,,,
opportunity,,,,,,,,,,,,,,,,
or,,,,,,,,,,,,,,,,
order,ordered,ordering,orderings,,,,,,,,,,,,,
other,,,,,,,,,,,,,,,,
ought,oughta,outta,,,,,,,,,,,,,,
out,outed,outing,outings,,,,,,,,,,,,,
outside,,,,,,,,,,,,,,,,
over,,,,,,,,,,,,,,,,
own,owned,owning,ownings,,,,,,,,,,,,,
page,paged,paging,pagings,,,,,,,,,,,,,
paper,papered,papering,paperings,,,,,,,,,,,,,
parent,parented,parenting,parentings,,,,,,,,,,,,,
park,parked,parking,parkings,,,,,,,,,,,,,
part,parted,parting,partings,,,,,,,,,,,,,
particular,,,,,,,,,,,,,,,,
particularly,,,,,,,,,,,,,,,,
party,partied,partying,partys,,,,,,,,,,,,,
pass,passed,passing,passings,,,,,,,,,,,,,
past,,,,,,,,,,,,,,,,
pause,paused,pausing,pausings,,,,,,,,,,,,,
pay,paid,payed,paying,payings,,,,,,,,,,,,
people,peopled,peopling,peoplings,,,,,,,,,,,,,
per,,,,,,,,,,,,,,,,
percent,,,,,,,,,,,,,,,,
perhaps,,,,,,,,,,,,,,,,
period,,,,,,,,,,,,,,,,
person,,,,,,,,,,,,,,,,
phone,phoned,phoning,phonings,,,,,,,,,,,,,
pick,picked,picking,pickings,,,,,,,,,,,,,
picture,pictured,picturing,picturings,,,,,,,,,,,,,
piece,pieced,piecing,piecings,,,,,,,,,,,,,
place,placed,placing,placings,,,,,,,,,,,,,
plan,planned,planning,plannings,,,,,,,,,,,,,
play,played,playing,playings,,,,,,,,,,,,,
please,pleased,pleasing,pleasings,,,,,,,,,,,,,
plus,,,,,,,,,,,,,,,,
point,pointed,pointing,pointings,,,,,,,,,,,,,
police,policed,policing,policings,,,,,,,,,,,,,
policy,,,,,,,,,,,,,,,,
position,positioned,positioning,positionings,,,,,,,,,,,,,
possible,,,,,,,,,,,,,,,,
pound,pounded,pounding,poundings,,,,,,,,,,,,,
power,powered,powering,powerings,,,,,,,,,,,,,
present,presented,presenting,presentings,,,,,,,,,,,,,
press,pressed,pressing,pressings,,,,,,,,,,,,,
pretty,prettyed,prettying,prettier,prettiest,,,,,,,,,,,,
price,priced,pricing,pricings,,,,,,,,,,,,,
probably,,,,,,,,,,,,,,,,
problem,,,,,,,,,,,,,,,,
process,processed,processing,processings,,,,,,,,,,,,,
produce,produced,producing,producings,,,,,,,,,,,,,
product,,,,,,,,,,,,,,,,
program,programed,programing,programme,programmes,programmed,programming,programmings,,,,,,,,,
project,projected,projecting,projectings,,,,,,,,,,,,,
provide,provided,providing,providings,,,,,,,,,,,,,
public,,,,,,,,,,,,,,,,
pull,pulled,pulling,pullings,,,,,,,,,,,,,
purpose,purposed,purposing,purposings,,,,,,,,,,,,,
push,pushed,pushing,pushings,,,,,,,,,,,,,
put,putted,putting,puttings,,,,,,,,,,,,,
quality,,,,,,,,,,,,,,,,
question,questioned,questioning,questionings,,,,,,,,,,,,,
quick,quickest,,,,,,,,,,,,,,,
quite,,,,,,,,,,,,,,,,
raise,raised,raising,raisings,,,,,,,,,,,,,
rate,rated,rating,ratings,,,,,,,,,,,,,
rather,,,,,,,,,,,,,,,,
read,readed,reading,readings,,,,,,,,,,,,,
ready,readied,readyed,readying,readyings,readier,readiest,,,,,,,,,,
real,,,,,,,,,,,,,,,,
realize,realized,realizing,realise,realises,realised,realising,realisings,,,,,,,,,
really,,,,,,,,,,,,,,,,
reason,reasoned,reasoning,reasonings,,,,,,,,,,,,,
receive,received,receiving,receivings,,,,,,,,,,,,,
record,recorded,recording,recordings,,,,,,,,,,,,,
red,redded,redding,redder,reddest,,,,,,,,,,,,
relate,related,relating,relatings,,,,,,,,,,,,,
relationship,,,,,,,,,,,,,,,,
remember,remembered,remembering,rememberings,,,,,,,,,,,,,
report,reported,reporting,reportings,,,,,,,,,,,,,
require,required,requiring,requirings,,,,,,,,,,,,,
research,researched,researching,researchings,,,,,,,,,,,,,
response,responsed,responsing,responsings,,,,,,,,,,,,,
rest,rested,resting,restings,,,,,,,,,,,,,
result,resulted,resulting,resultings,,,,,,,,,,,,,
review,reviewed,reviewing,reviewings,,,,,,,,,,,,,
right,righted,righting,righter,rightest,,,,,,,,,,,,
ring,ringed,rang,ringing,rung,,,,,,,,,,,,
road,roaded,roading,roadings,,,,,,,,,,,,,
room,roomed,rooming,roomings,,,,,,,,,,,,,
round,rounded,rounding,rounder,roundest,rounders,,,,,,,,,,,
rule,ruled,ruling,rulings,,,,,,,,,,,,,
run,ran,running,runneth,runnin,,,,,,,,,,,,
sale,,,,,,,,,,,,,,,,
same,,,,,,,,,,,,,,,,
save,saved,saving,savings,,,,,,,,,,,,,
say,said,saying,sayed,sayin,sayings,,,,,,,,,,,
school,schooled,schooling,schoolings,,,,,,,,,,,,,
score,scored,scoring,scorings,,,,,,,,,,,,,
second,seconded,seconding,sec,,,,,,,,,,,,,
see,saw,seeing,seen,,,,,,,,,,,,,
seem,seemed,seeming,seemings,,,,,,,,,,,,,
sell,sold,selling,selled,,,,,,,,,,,,,
send,sended,sending,sent,,,,,,,,,,,,,
sense,sensed,sensing,sensings,,,,,,,,,,,,,
service,serviced,servicing,servicings,,,,,,,,,,,,,
set,setted,setting,settings,,,,,,,,,,,,,
seven,sevens,seventh,sevenths,,,,,,,,,,,,,
seventy,seventys,seventies,seventieth,seventieths,,,,,,,,,,,,
several,,,,,,,,,,,,,,,,
shall,,,,,,,,,,,,,,,,
share,shared,sharing,sharings,,,,,,,,,,,,,
she,hers,,,,,,,,,,,,,,,
shop,shopped,shopping,shoppings,,,,,,,,,,,,,
short,shorted,shorting,shorter,shortest,,,,,,,,,,,,
should,shoulda,,,,,,,,,,,,,,,
show,showed,showing,shown,showings,,,,,,,,,,,,
side,sided,siding,sidings,,,,,,,,,,,,,
sign,signed,signing,signings,,,,,,,,,,,,,
since,,,,,,,,,,,,,,,,
sing,sang,singing,sung,singin,,,,,,,,,,,,
single,singled,singling,singlings,,,,,,,,,,,,,
sister,,,,,,,,,,,,,,,,
sit,sat,sitting,sittings,,,,,,,,,,,,,
site,sited,siting,sitings,,,,,,,,,,,,,
situation,,,,,,,,,,,,,,,,
six,sixs,sixth,sixths,,,,,,,,,,,,,
sixty,sixtys,sixties,sixtieth,sixtieths,,,,,,,,,,,,
size,sized,sizing,sizings,,,,,,,,,,,,,
sleep,slept,sleeping,sleepings,,,,,,,,,,,,,
small,smallest,smalls,,,,,,,,,,,,,,
so,,,,,,,,,,,,,,,,
some,,,,,,,,,,,,,,,,
somebody,somebodys,,,,,,,,,,,,,,,
someone,,,,,,,,,,,,,,,,
something,somethings,,,,,,,,,,,,,,,
sometimes,,,,,,,,,,,,,,,,
somewhere,,,,,,,,,,,,,,,,
soon,soonest,,,,,,,,,,,,,,,
sorry,sorriest,,,,,,,,,,,,,,,
sort,sorted,sorting,sortings,,,,,,,,,,,,,
sound,sounded,sounding,soundings,,,,,,,,,,,,,
speak,spoke,speaking,spoken,,,,,,,,,,,,,
special,specialled,specialling,speciallings,,,,,,,,,,,,,
specific,,,,,,,,,,,,,,,,
spend,spended,spending,spent,spendings,,,,,,,,,,,,
staff,staffed,staffing,staffings,,,,,,,,,,,,,
stage,staged,staging,stagings,,,,,,,,,,,,,
