No.,章,古語,品詞,Core（重要意味）,覚え方・補足,重要度,暗記チェック
31,第1章,つらし,形容詞・ク活用,薄情だ・冷たい,自分が「つらい」ではなく相手が「薄情だ」の意,★,
32,第1章,こころぐるし,形容詞・シク活用,心が痛む・かわいそうだ,「心苦しい」≠「申し訳ない」。古典では同情の意,★,
33,第1章,おとなし,形容詞・シク活用,大人びている・思慮分別がある,「大人」→年配→分別がある,★★,
34,第1章,はれ(晴れ)・け(褻),名詞,公式の場(晴れ)／日常(褻),ハレとケの対比は古典常識,★★★,
35,第1章,はつかなり,形容動詞・ナリ活用,ほのかだ・わずかだ,ほんの少し見える程度,★★,
36,第1章,むつかし,形容詞・シク活用,不快だ・わずらわしい,「むずかる」＝不快に思う。現代語「難しい」とは違う,★★★,
37,第1章,おぼつかなし,形容詞・ク活用,はっきりしない・気がかりだ,,★★,
38,第1章,こころもとなし,形容詞・ク活用,待ち遠しい・じれったい・心配だ,,★,
39,第1章,いたづらなり,形容動詞・ナリ活用,むなしい・無駄だ・暇だ,「いたずら（悪戯）」とは全くの別語,★★★,
40,第1章,つきづきし,形容詞・シク活用,似つかわしい・ふさわしい,,★,
41,第1章,うつくし,形容詞・シク活用,かわいい・愛らしい,現代語の「美しい」ではなく小さく愛らしいもの,★,
42,第1章,こころにくし,形容詞・ク活用,奥ゆかしい・心引かれる,「心」＋「憎し」→憎いほど心引かれる,★,
43,第1章,をさをさ,副詞,（打消と共に）ほとんど〜ない,,★★★,
44,第1章,さらに,副詞,（打消と共に）まったく〜ない,現代語「さらに」の追加の意味ではない,★★★,
45,第1章,よも,副詞,（打消推量と共に）まさか〜ないだろう,,★,
46,第1章,おほし,形容詞・ク活用,多い・たくさんある,,★,
47,第1章,かた,名詞,方面・方角・方法・人,婉曲的に人を指す,★,
48,第1章,よろづ,名詞,すべて・さまざまな・たくさん,「万」の古語読み,★,
49,第1章,ものはかなし,形容詞,頼りない・はかない,,★★,
50,第1章,はかなし,形容詞,はかない・たわいもない,「はか」＝成果。成果がない→はかない,★★,
51,第1章,すさまじ,形容詞・シク活用,興ざめだ・殺風景だ,,★,
52,第1章,やりみづ（※要確認）,,,,★,
53,第1章,おぼゆ（※要確認）,,,,★,
54,第1章,やさし,形容詞・シク活用,恥ずかしい→優美だ・けなげだ,現代語の「優しい」とは異なる,★,
55,第1章,わりなし,形容詞・ク活用,「理」が「無い」→道理に合わない・つらい,「理無し」が語源,★★★,
56,第2章,みやび,名詞,宮廷風の上品な美しさ・優雅,「宮＋ぶ」→宮廷風,★★,
57,第2章,おかす,動詞,押し切って〜する,「犯す」から→強引に行う,★★,
58,第2章,よそふ,動詞,なぞらえる・比較する,,★,
59,第2章,いでそ（出家関連）,名詞/動詞,出家する,仏門に入ること,★★,
60,第2章,つれなし,形容詞・ク活用,何事もないような様子・冷淡だ,,★★,
61,第2章,うつろふ,動詞・ハ行四段,色あせる・心変わりする,心が「色あせる」＝心変わり,★★,
62,第2章,やつる,動詞・ラ行下二段,やつれる→地味になる・出家の姿になる,「やつれる」＝身をやつす→地味に,★★,
63,第2章,ものがたらふ（※要確認）,動詞,,p.83付近,★,
64,第2章,かづく,動詞,褒美として被き物を与える,,★★,
65,第2章,かしづく,動詞,大切に育てる・世話する,,★★,
66,第2章,ふるまふ（※要確認）,動詞,,p.85付近,★,
67,第2章,つね（※要確認）,名詞,,p.86付近,★,
68,第2章,いとほし,形容詞,気の毒だ・かわいそうだ,「愛」＋「惜し」→ 痛ましい→ かわいそう,★★,
69,第2章,せうそこ,名詞,手紙・訪問・便り,「消息」の古語読み,★,
70,第2章,（※教材で確認）,,,p.88付近,★,
71,第2章,（※教材で確認）,,,p.88付近,★,
72,第2章,おほとのごもる（※要確認）,動詞,,お休みになる（尊敬語）,★★,
73,第2章,おほつかなし,形容詞・ク活用,はっきりとしない・ほんやりした様子,,★★,
74,第2章,かごとがまし,形容詞・シク活用,「かごと（恨み言）」の意と一緒に覚える,,★★,
75,第2章,こまやかなり,形容動詞,「恋」＋「甚し」→心がこもっている・親密だ,,★★,
76,第2章,（※教材で確認）,,,p.92付近,★,
77,第2章,やむごとなし,形容詞・ク活用,高貴だ・捨てておけない,「止む＋こと＋なし」,★,
78,第2章,あやし,形容詞・シク活用,不思議だ・身分が低い,「怪し」と「賤し」の二系統,★★★,
79,第2章,つれづれなり,形容動詞・ナリ活用,同じような状態が続く→退屈の意に,「徒然」。退屈・ものさみしい,★★★,
80,第2章,むげなり,形容動詞・ナリ活用,「無下(下無し)」→最低→全くひどい,,★★,
81,第2章,ふみ,名詞,「ふみ」→漢籍・手紙・学問,「文」の意味は文脈で判断,★★,
82,第2章,けしき,名詞,「気色」→様子・気配・意向,「景色」ではなく人の様子,★★★,
83,第2章,しのぶ,動詞,忍ぶ＝我慢する／偲ぶ＝懐かしむ,二つの「しのぶ」を区別,★★,
84,第2章,（※教材で確認）,,,p.96付近,★,
85,第2章,あいぎやう,名詞,愛敬・愛嬌,現代語にない意味に注意,★★,
86,第2章,ざえ,名詞,男子が身につけるべき漢詩文などの学問,「才」→学問・学才,★★,
87,第2章,みゆ,動詞,「見」の受身的→見える・見られる・会う,「見ゆ」→姿を見せる意味も,★★,
88,第2章,いぬ/なく,動詞,愛しさが高じて泣く→去る・消える,「往ぬ」＝行ってしまう,★★,
89,第2章,こふ,動詞,「恋ふ」→無駄→孤独→運命の悲嘆,「こふ」→恋い慕う,★★,
90,第2章,はべり,動詞,お仕えする／（丁寧語）ございます,「侍り」。丁寧語としての用法が重要,★★★,
91,第2章,こころ,名詞,人の精神・物事の本質,訳し分けが必要。精神・気持ち・本質・意味など,★★★,
92,第2章,かたらふ,動詞,親密に語り合う・契りを結ぶ,「語らふ」は親密な関係を示す,★★,
93,第2章,よ,名詞,世＝男女の仲,「世」＝時代だけでなく男女関係も,★★★,
94,第2章,（※教材で確認）,,,p.104付近,★,
95,第3章,ゐる,動詞・ワ行上一段,座る・（そこに）いる・連れていく,「居る」は①すわる②率る＝連れる,★★★,
96,第3章,ぐす,動詞・サ行変格,「具（備える）」の意味をもつ言葉,連れていく・備わる,★★,
97,第3章,かこつ,動詞,口実にする・かこつける・嘆く,,★★,
98,第3章,まうく,動詞・カ行下二段,用意する・準備する,「設く」,★,
99,第3章,おくる,動詞・ラ行下二段,先立たれる・死に遅れる,「後る／遅る」,★,
100,第3章,おもひまぎる/おもひなす,動詞,「思ひ」を紛れさせる/そう思い込む,,★★,
101,第3章,ちる/うつる（※要確認）,動詞,N→Sの生死に関わる語の対比,,★,
102,第3章,おりゐる（※要確認）,動詞,りゐひふく居るの活用に関わる,,★,
103,第3章,はかなし,形容詞・ク活用,心の「果て」がない→頼りない,「はか（果）なし」が語源,★★★,
104,第3章,はかばかし,形容詞・シク活用,「はか」が甚だしい→はっきりしている・しっかりしている,,★★,
105,第3章,たのもし,形容詞・シク活用,頼りになる・心強い,,★★,
106,第3章,らうたし,形容詞・ク活用,「労＋甚し」→かわりたい→かわいらしい,類義語: うつくし・いとほし との違いを区別,★★★,
107,第3章,かしこし,形容詞・ク活用,自然の霊力や権力者の威光を恐れ敬う感じ,,★★★,
108,第3章,あなかしこ（※要確認）,形容詞,近寄りにくい・恐れ多い,,★★,
109,第3章,いとほし/いとはし,形容詞,面目ない→嫌だ/気の毒だ,いとほし＝同情系、いとはし＝嫌悪系,★★,
110,第3章,かたはらいたし,形容詞・ク活用,「かたはら」＋「いたし」→110のはらはらする・きまりが悪い,,★★★,
111,第3章,こころうし,形容詞・ク活用,「心」＋「憂し」→つらい・情けない,,★★,
112,第3章,くちをし,形容詞・シク活用,「朽ち」＋「惜し」→残念だ・惜しい,,★★★,
113,第3章,あはれ/あはれなり,形容詞/形容動詞,ああ、しみじみと心にしみる,「あはれ」はキーワード。感動・同情・悲しみ,★★★,
114,第3章,をかし,形容詞・シク活用,趣がある・興味深い・風情を感じる,「あはれ」との違いを意識,★★★,
115,第3章,おもしろし,形容詞・ク活用,心が晴れ晴れするような趣,関連語：をかし,★★,
116,第3章,あへなし,形容詞・ク活用,「敢ふ」＋「無し」→しいて〜できない・あっけない,,★★,
117,第3章,おどろおどろし（※要確認）,形容詞,おおげさだ・気味が悪い,,★★,
118,第3章,えんなり,形容動詞・ナリ活用,艶然→優美だ・上品で美しい,,★★,
119,第3章,わろし,形容詞・ク活用,至極悪い→「あし」の上の段階的な悪さ,よし＞よろし＞わろし＞あし,★★★,
120,第3章,めし（※要確認）,,惜し・愛し・…,,★,
121,第3章,はしたなし（再掲）,形容詞・ク活用,「端」→きまりが悪い・中途半端だ,14と同じ語。第3章では関連語と比較,★★★,
122,第3章,なかなかなり,形容動詞・ナリ活用,中途半端なぐらいなら→しないほうがよい,類義語: はした＋なし,★★★,
123,第3章,おぼろけなり,形容動詞・ナリ活用,並一通りだ・普通だ,,★,
124,第3章,いうなり,形容動詞・ナリ活用,「言う」ではない→「優美・優雅」の「優」と覚える,,★★★,
125,第3章,あてなり,形容動詞・ナリ活用,上品だ・高貴だ,,★★,
126,第3章,えんなり（再掲）,形容動詞・ナリ活用,優美だ,124いうなり・125あてなりとの比較,★★,
127,第3章,えせなり,形容動詞・ナリ活用,偽物だ・いい加減だ,「似非なり」,★,
128,第3章,ねんごろなり,形容動詞・ナリ活用,心をこめて丁寧だ・親密だ,「懇ろなり」,★,
129,第3章,まめなり,形容動詞・ナリ活用,「まめ」は「忠実」「誠実」の意味,まめな人→誠実な人/まめな物→実用的,★★★,
130,第3章,（※教材で確認）,形容動詞,,p.132付近,★,
131,第3章,（※教材で確認）,形容動詞,,p.132付近,★,
132,第3章,ことわりなり,名詞/形容動詞,「理」のこと→道理だ・当然だ,「断り」とは全く別の語,★★★,
133,第3章,わりなし,形容詞・ク活用,「理」が「無し」→道理に合わずつらい,ことわりなり（132）との対比で覚える,★★★,
134,第3章,よし,名詞,理由・方法・手段・縁故,「由」,★,
135,第3章,よしなし,形容詞・ク活用,つまらない・方法がない,「よし（由）」＋「無し」,★,
136,第3章,ゆゑ,名詞,理由・原因・由緒・風情,「故」,★,
137,第3章,ふみ,名詞,「情」「恥」→心に関する名詞,中に「心」を含む語群,★★,
138,第3章,ふみ（文）,名詞,「文」の意味を文脈から判断,手紙・漢籍・学問など多義,★★,
139,第3章,おきて,名詞,「掟」→しきたり・方法・準備,「おきて」は「起きて」ではない,★★,
140,第3章,おきておきてなし（※要確認）,名詞,方法がない→あてにならない,,★★,
141,第3章,かたみ,名詞,形見→思い出の品・互いに,「形」＋「身」→亡き人の思い出,★★,
142,第3章,かたち,名詞,「かたち」→顔・容貌・姿,「形」ではなく「顔立ち」が中心の意味,★★★,
143,第3章,さし,副詞,「情緒深い」の程度（※要確認）,,★,
144,第3章,え（※要確認）,副詞,（打消と共に）〜できない,「え〜ず」の形で頻出,★★★,
145,第3章,いさ,感動詞,あいまいにごまかす感動詞,「さあ、どうでしょうか」,★★,
146,第3章,いざ,感動詞,人を誘うときに発する語,「さあ」と同じ。「いざ」と「いさ」を区別,★★★,
147,第3章,あな,感動詞,ああ（感嘆・驚きを表す）,「あなかしこ」「あなめでたや」等,★,
